156,196,8.03,2021-02-09 11:57:37,NULL
181,196,5.95,2021-03-02 13:22:35,NULL
170,197,50.00,2021-02-19 11:33:52,NULL
152,198,21.19,2021-02-04 17:21:35,NULL
154,199,25.00,2021-02-05 17:39:16,NULL
155,200,30.82,2021-02-06 17:37:54,NULL
1483,200,9.18,2021-12-03 17:45:31,107953
173,201,39.59,2021-02-20 20:28:54,NULL
201,201,10.41,2021-03-12 20:09:15,NULL
1484,202,20.65,2021-12-03 18:15:03,107982
1524,202,19.35,2022-01-13 17:42:37,117387
158,203,2.80,2021-02-09 18:49:57,NULL
1235,203,37.20,2021-03-25 19:33:13,44076
165,204,10.00,2021-02-16 17:58:48,NULL
162,205,25.00,2021-02-11 20:35:11,NULL
163,206,5.00,2021-02-11 20:35:39,NULL
1233,206,20.00,2021-03-25 17:28:08,44014
167,207,25.00,2021-02-16 21:09:09,NULL
168,208,50.00,2021-02-17 17:24:23,NULL
1254,209,52.00,2021-04-06 13:10:26,46629
1418,209,33.81,2021-08-20 17:08:20,81394
1445,209,14.19,2021-10-08 14:04:12,93523
172,211,22.47,2021-02-20 20:01:32,NULL
1242,212,5.00,2021-03-27 15:39:28,44653
175,213,25.00,2021-02-26 13:28:29,NULL
215,214,97.16,2021-03-18 20:23:57,NULL
1421,215,32.10,2021-08-27 16:13:50,83153
1341,216,31.03,2021-05-26 17:32:09,59151
1406,216,31.03,2021-08-11 16:45:53,78862
1382,217,100.00,2021-07-17 19:57:33,72636
203,219,31.03,2021-03-13 12:34:39,NULL
1241,219,31.03,2021-03-27 14:14:23,44614
1259,219,34.24,2021-04-09 13:38:49,47463
1465,219,3.70,2021-11-06 11:57:47,100669
1273,220,34.48,2021-04-14 19:24:57,48743
1502,220,24.08,2022-01-04 13:51:21,114957
1741,220,27.82,2022-08-17 19:43:49,179390
1742,220,13.62,2022-08-17 19:48:59,NULL
190,221,70.62,2021-03-05 21:19:17,NULL
1310,223,12.00,2021-04-24 13:41:38,51286
1275,225,36.62,2021-04-15 17:17:58,48902
1349,225,26.99,2021-06-08 17:06:06,62185
1415,225,31.03,2021-08-17 16:32:33,80251
206,226,100.00,2021-03-13 19:27:44,NULL
1231,227,21.99,2021-03-25 11:39:25,43870
1428,227,47.08,2021-09-01 11:30:55,84164
1563,227,30.93,2022-02-11 17:42:03,124868
212,228,38.52,2021-03-17 18:13:54,NULL
1234,228,31.03,2021-03-25 18:22:16,44030
1245,228,30.45,2021-04-01 18:21:00,45577
1327,229,62.70,2021-05-08 12:42:10,55103
1712,229,32.10,2022-07-01 15:40:45,165881
1284,230,49.22,2021-04-17 13:42:44,49520
1389,230,50.78,2021-07-23 18:46:05,74048
218,232,94.16,2021-03-19 11:35:36,NULL
1803,233,90.42,2022-11-16 19:54:02,205756
192,235,76.51,2021-03-06 15:50:43,NULL
1230,235,23.49,2021-03-25 11:38:56,43870
1306,236,87.00,2021-04-23 19:42:17,51059
1351,237,58.00,2021-06-11 18:59:23,63159
205,239,44.94,2021-03-13 19:21:17,NULL
1282,239,19.26,2021-04-16 19:56:46,49346
1964,239,35.80,2023-03-24 19:25:45,244941
1248,241,22.58,2021-04-02 13:14:00,45743
1573,241,24.08,2022-02-16 13:22:15,126153
1595,241,47.08,2022-03-04 11:50:25,130941
184,242,41.52,2021-03-04 17:00:23,NULL
199,242,32.96,2021-03-09 14:59:57,NULL
207,242,17.98,2021-03-16 12:34:19,NULL
219,242,7.54,2021-03-19 14:17:23,NULL
1385,243,39.00,2021-07-17 21:41:49,72775
1463,243,38.52,2021-11-05 21:01:06,100643
213,245,34.24,2021-03-18 17:41:29,NULL
1330,245,39.59,2021-05-14 14:21:20,56343
1388,245,26.17,2021-07-23 12:28:09,73881
198,246,22.47,2021-03-09 12:07:26,NULL
1240,246,20.12,2021-03-27 13:44:57,44603
1433,247,83.00,2021-09-04 19:46:54,85498
197,248,39.59,2021-03-09 12:03:43,NULL
1264,250,100.00,2021-04-10 19:18:07,48090
1364,251,63.67,2021-06-25 13:10:17,66476
189,253,100.00,2021-03-05 19:27:43,NULL
1571,256,29.96,2022-02-12 21:35:41,125728
1572,256,32.10,2022-02-15 11:50:28,125762
1574,256,35.31,2022-02-16 21:41:05,126403
1286,257,54.57,2021-04-17 14:39:14,49560
1309,257,45.43,2021-04-24 13:40:37,51286
214,260,26.87,2021-03-18 18:46:56,NULL
1223,260,31.03,2021-03-20 21:20:01,NULL
1251,260,33.17,2021-04-03 20:05:01,46451
200,261,74.90,2021-03-10 16:54:05,NULL
1239,261,17.12,2021-03-27 12:30:09,44578
1243,261,7.98,2021-03-30 14:05:03,44974
1287,262,100.00,2021-04-17 18:36:08,49726
1247,263,43.87,2021-04-01 21:50:04,45689
1266,263,41.73,2021-04-10 21:29:55,48269
1383,263,14.40,2021-07-17 20:15:18,72664
1479,264,30.50,2021-11-30 18:53:06,107051
1480,264,30.50,2021-12-01 17:38:26,107288
2046,264,39.00,2023-07-08 17:33:03,279140
1296,265,33.17,2021-04-21 17:16:04,50383
1567,265,42.80,2022-02-12 12:13:05,125186
1866,265,19.35,2023-01-10 18:16:02,220568
1224,266,39.59,2021-03-23 18:18:08,43519
191,267,37.00,2021-03-06 13:34:54,NULL
1256,267,31.00,2021-04-08 13:04:28,47172
1635,267,32.00,2022-04-12 17:07:40,142756
1227,268,17.12,2021-03-23 20:36:10,43578
1244,268,25.68,2021-03-30 20:48:02,45111
1394,268,31.03,2021-07-28 19:17:41,75270
1664,268,26.17,2022-05-07 20:09:42,151180
210,269,20.12,2021-03-17 14:00:34,NULL
1414,269,17.12,2021-08-17 12:53:51,80143
1440,269,11.56,2021-09-29 13:39:55,91234
1443,269,25.00,2021-10-05 13:23:21,92665
1453,269,26.20,2021-10-19 19:59:09,96399
1358,270,100.00,2021-06-19 15:29:52,65260
209,271,100.00,2021-03-17 11:57:59,NULL
187,272,92.02,2021-03-04 20:58:37,NULL
185,273,70.09,2021-03-04 19:35:50,NULL
1237,273,21.40,2021-03-26 18:10:16,44316
1344,273,8.51,2021-06-04 18:20:19,61389
1267,274,100.00,2021-04-10 22:07:01,48303
1258,275,64.20,2021-04-08 18:47:07,47301
1250,276,43.87,2021-04-03 14:58:48,46232
1302,276,27.29,2021-04-23 13:14:04,50851
186,278,42.59,2021-03-04 20:24:40,NULL
217,278,42.59,2021-03-18 21:18:31,NULL
1225,279,36.92,2021-03-23 19:02:56,43543
1255,279,36.38,2021-04-06 19:19:19,46781
1410,279,26.70,2021-08-12 20:30:22,79234
176,280,19.26,2021-02-26 18:20:21,NULL
1464,280,26.75,2021-11-05 21:22:07,100644
177,281,40.00,2021-02-27 12:53:42,NULL
178,282,4.83,2021-02-27 12:54:10,NULL
179,282,35.17,2021-02-27 13:32:10,NULL
180,283,19.05,2021-02-27 15:20:38,NULL
1542,283,5.95,2022-01-21 20:35:02,119589
182,284,12.31,2021-03-02 14:10:08,NULL
211,285,25.00,2021-03-17 15:33:49,NULL
1278,286,12.09,2021-04-16 15:55:34,49164
1303,286,12.09,2021-04-23 16:07:06,50921
183,287,39.59,2021-03-03 20:47:28,NULL
195,288,19.26,2021-03-06 19:37:08,NULL
1380,288,5.74,2021-07-17 16:40:05,72479
1381,288,-5.74,2021-07-17 16:51:34,NULL
196,289,10.00,2021-03-09 11:31:55,NULL
1359,290,8.03,2021-06-24 11:42:53,66210
1434,290,11.56,2021-09-07 11:54:01,85618
1487,290,12.63,2021-12-10 11:46:52,109617
1645,290,13.91,2022-04-27 12:09:19,147653
1699,290,3.87,2022-06-15 11:20:06,161039
1294,291,19.26,2021-04-20 15:47:36,50089
1319,291,26.54,2021-04-30 12:45:45,52824
202,292,40.00,2021-03-12 21:05:02,NULL
204,293,25.00,2021-03-13 18:02:14,NULL
2103,293,-25.00,2023-09-23 18:25:33,NULL
2104,293,25.00,2023-09-23 18:26:10,303934
1300,294,40.00,2021-04-22 19:56:04,50705
1246,295,47.00,2021-04-01 18:44:31,45590
1954,295,3.00,2023-03-15 17:56:16,241875
216,296,20.00,2021-03-18 20:23:57,NULL
1292,297,20.00,2021-04-17 21:44:27,49887
1226,298,32.10,2021-03-23 20:10:52,43581
1218,299,20.00,2021-03-19 18:16:11,NULL
1628,300,56.71,2022-04-07 19:49:19,141319
1706,300,43.29,2022-06-23 21:42:16,163592
1219,301,25.92,2021-03-19 18:56:22,NULL
2199,301,21.50,2024-01-11 17:26:20,337657
2200,301,22.90,2024-01-11 17:51:25,337683
1220,302,25.00,2021-03-20 12:21:28,NULL
1222,303,36.38,2021-03-20 13:33:04,NULL
1811,303,21.38,2022-11-26 15:02:11,208534
1947,303,18.75,2023-03-11 13:32:38,240661
1229,304,47.72,2021-03-24 18:21:00,43766
1339,304,2.28,2021-05-22 22:32:52,58761
1236,305,50.00,2021-03-26 13:03:20,44171
1356,306,46.00,2021-06-19 12:51:36,65174
1365,306,28.89,2021-06-25 16:29:00,66584
1367,306,24.61,2021-07-01 19:20:01,68101
1260,308,59.92,2021-04-09 20:21:55,47715
1399,308,31.03,2021-07-31 20:29:08,76585
1293,309,41.73,2021-04-20 14:08:53,50033
1377,309,36.92,2021-07-16 14:48:04,71927
1261,310,16.59,2021-04-10 12:32:44,47910
1272,310,12.31,2021-04-14 18:46:36,48728
1288,310,7.49,2021-04-17 19:04:45,49780
1707,310,33.17,2022-06-25 13:22:48,164105
1786,310,9.10,2022-11-02 18:34:31,201721
1789,310,8.56,2022-11-03 18:07:52,201968
1794,310,8.56,2022-11-08 17:56:34,203384
1283,311,59.71,2021-04-16 22:10:15,49443
1321,311,34.78,2021-05-01 19:32:14,53706
1343,312,49.00,2021-06-03 18:59:11,61076
1361,312,51.00,2021-06-24 19:11:26,66369
1430,313,100.00,2021-09-03 19:07:08,84887
1295,314,23.86,2021-04-20 17:32:21,50110
1313,314,20.12,2021-04-24 18:51:57,51614
1324,314,34.24,2021-05-04 17:38:59,53962
1334,314,9.10,2021-05-21 15:10:52,58043
1335,314,3.00,2021-05-21 15:11:51,58051
1350,314,9.68,2021-06-08 18:30:29,62198
1312,315,38.00,2021-04-24 15:00:32,51378
1326,315,42.37,2021-05-06 16:23:31,54464
1488,315,17.12,2021-12-11 13:13:53,110096
1726,316,48.15,2022-07-23 14:33:47,172233
1304,317,44.41,2021-04-23 16:08:44,50920
1698,317,55.59,2022-06-11 11:52:09,160206
1265,318,96.30,2021-04-10 21:11:56,48266
1353,320,36.38,2021-06-12 13:21:04,63391
1369,320,63.62,2021-07-03 14:40:20,68718
1262,321,47.08,2021-04-10 13:58:47,47945
1482,321,26.22,2021-12-03 16:43:51,107927
1561,321,26.70,2022-02-11 12:45:07,124633
1314,322,63.77,2021-04-24 19:26:29,51575
1631,322,35.31,2022-04-07 21:24:51,141418
1299,323,63.00,2021-04-22 13:44:55,50531
1686,324,67.41,2022-05-31 16:18:05,156992
1311,325,70.62,2021-04-24 13:45:12,51336
1238,328,39.59,2021-03-26 19:06:35,44358
1366,329,25.00,2021-06-30 19:52:52,67819
1249,331,10.00,2021-04-03 14:13:04,46179
1252,332,25.00,2021-04-03 21:07:22,46528
1253,335,25.00,2021-04-06 12:38:59,46601
2094,335,0.00,2023-09-09 15:08:52,299310
2095,335,-1.19,2023-09-09 15:09:34,NULL
1865,336,30.00,2023-01-10 18:05:04,220534
