OrderId,CustomerId,ReadyDateTimeInfo,LocationInfo,DeliveryDateTime,EmployeeIdOfDriver,IsOffSite,ManagerNote,NumPeople,PricePerPerson,PriceAdjust,DeliveryFee,MiscFee,ServiceFeePercent,TaxPriceAdjust,NumPizzaPeople,NumSaladPeople,NumDessertPeople,PricePerPizzaPerson,PricePerSaladPerson,PricePerDessertPerson,DoughCount,DressingCount,DessertCount,KitchenPrepNote,DessertNote,LSENote
219062,211,ZACK,First Magnitude,2023-01-12 16:40:15.9660000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,50.00,50.00,9.00,3.00,2.50,14,4,100,,,
220751,212,ZACK,J school,2023-01-11 16:30:02.4400000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,24.00,24.00,0.00,9.00,3.00,2.50,10,2,,,,
220819,213,PICK UP,RING UP DIRECT DEPOSIT,2023-01-13 11:00:56.6390000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,10.00,0.00,0.00,9.00,3.00,2.50,3,1,,,,
222898,162,Brian,McKnight,2023-01-19 12:15:34.9240000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,6,1,40,,Brownies and Bonbons,
223673,214,Kyson's 7th BDAY,UNDER THE PLANE,2023-01-21 14:30:54.8580000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,20.00,0.00,0.00,9.00,3.00,2.50,6,0,,,,
225139,215,"BRIAN ",Newell   CASH OUT Due DD,2023-01-31 11:15:22.8220000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,35.00,25.00,0.00,9.00,3.00,2.50,11,2,,,,
225768,170,Brian,HarrellUF,2023-01-27 11:00:31.2600000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,0.00,0.00,9.00,3.00,2.50,13,,,NO SALAD PIZZA ONLY,,
226341,216,SERVER NEEDED,WHOLE SHEBANG,2023-02-04 14:30:02.9040000,NULL,0,,0.00,0.00,0.00,0.00,275.00,20.00,0,50.00,50.00,50.00,9.00,3.00,2.50,16,4,125,,,Bottles and Pitchers - cut it off at $240
227179,217,BRIAN?,NEWELL,2023-02-02 12:15:27.1500000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,5,1,45,,Brownies and Bonbons,
227442,218,CHRIS!!!,Cypress& Grove,2023-02-10 18:10:53.6140000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,40.00,40.00,0.00,9.00,3.00,2.50,12,3,,,,
227504,219,PICK UP,"11:30 ",2023-02-02 23:30:55.2350000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,0.00,30.00,0.00,9.00,3.00,2.50,,,,"TWO TRAYS OF SALAD THAT""S IT",,
227825,220,Brian/Satchel,1615 NW 80 Blvd,2023-02-10 11:00:31.3000000,NULL,0,,0.00,0.00,0.00,30.00,0.00,20.00,0,153.00,90.00,0.00,9.00,3.00,2.50,38,,,153 individual boxes   100 portions of salad dressing in ramekins   4 trays of salad,,
