MenuItemId,DisplayName,ShortName,DisplaySequence,BasePrice,MenuItemCategoryId,RevenueCategoryId,Taxable,Alcohol,IsActive,IsAutoSent,TaxIncludedInPrice,ClassNameInternalUse,Color,PrinterId,Slice,CateringNoCost,LunchSpecial,AllowSizeChangeTo
26,Peanut Butter Bonbon,"PBBonbn  ",4.00,2.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
27,Cheesecake,"ChzCake   ",8.00,5.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
28,Chocolate Cannoli,"ChCann    ",6.00,5.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
30,Vanilla Cannoli,VCann,6.00,5.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
31,1/2 and 1/2 Cannoli,"HfHfCan   ",7.00,5.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
32,Chocolate Chip Cookie,"ChChCk    ",10.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
33,Mexican Wedding Cookie,"MexWCk    ",13.00,3.00,20,1,1,0,0,0,0,Dessert,Orange,7,0,0,0,0
34,Oatmeal Raisin Cookie,"OatRCk    ",12.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
35,Peanut Butter Cookie,"PBCook    ",11.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
36,Pumpkin Spice Cookie,"PmpSpCk   ",14.00,3.00,20,1,1,0,0,0,0,Dessert,Orange,7,0,0,0,0
37,Snicker Doodle Cookie,"SnDCook   ",9.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
38,Whole Cake,WhCAKE,16.00,55.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
39,$2 Dessert,$2 Dsrt,0.00,2.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
40,$3 Dessert,$3 Dsrt,0.60,3.00,10,1,1,0,1,0,0,Dessert,Tan,7,0,0,0,0
41,Any Cookie,AnyCkie,0.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
50,Water,"Water     ",1.00,0.00,1,2,1,0,1,1,0,Drink,White,0,0,0,0,0
51,Lola Cola,"Cola      ",3.00,3.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
53,Stevie Z,"StevieZ   ",4.00,3.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
54,Lennie Lemon Lime,"LemLime   ",5.00,3.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
55,Ginnie Ginger Ale,"GingAle   ",6.00,3.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
56,Ruby Root Beer,"Rt Beer   ",7.00,3.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
57,Apple Juice,"A Juice   ",19.00,3.00,1,2,1,0,1,1,0,Drink,Yellow,0,0,0,0,0
58,Kid Milk/Juice,"Kid M/J   ",17.00,2.00,1,2,1,0,1,1,0,Drink,LightPink,0,0,0,0,0
59,Kid Soda,"Kid Sda   ",16.00,1.50,19,2,1,0,1,1,0,Drink,LightPink,0,0,0,0,0
60,Lemonade,"Lmonade   ",8.00,3.00,1,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
61,Sweet Tea,"Sweet T   ",11.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
62,Sweet Arnold Palmer,"Sw ArnP   ",14.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
63,Unsweet Tea,"UnSw T    ",12.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
64,Unsweet Arnold Palmer,"UnSw AP   ",15.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
65,Grape Soda,Grape Soda,2.00,3.00,1,2,1,0,1,1,0,Drink,White,0,0,0,0,0
66,Milk,"Milk      ",18.00,3.00,1,2,1,0,1,1,0,Drink,White,0,0,0,0,0
67,Coke Can,Coke Can,20.50,2.00,1,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
68,Half N Half Tea,"Half T    ",13.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
69,Diet Coke Can,"DietCoke  ",20.00,2.00,1,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
70,Soda Pitcher,Pitcher,21.00,12.00,1,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
71,Flight,"Flight    ",9.00,6.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
72,Metal Cup Soda,Metal Cup Soda,10.00,7.00,19,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
74,Coffee,"Coffee    ",22.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
75,Decaf Coffee,"DeCaf     ",23.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
76,Hot Tea,"HotTea    ",24.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
77,Hot Cocoa,"HotChoc   ",25.00,3.00,1,2,1,0,1,1,0,Drink,Tan,0,0,0,0,0
78,Vegan Pumpkin Spice Cookie,"VPSpCk    ",15.00,3.00,20,1,1,0,1,0,0,Dessert,Orange,7,0,0,0,0
79,Hefeweizen Pint,"Hef       ",1.00,7.00,2,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
81,First Magnitude 72 Pint,"72        ",2.00,7.00,2,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
82,SwampHead BigNose IPA Pint,"Big Nose  ",3.00,7.00,2,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
83,Luna Lager Pint,"Lager     ",4.00,7.00,2,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
84,Beer 12oz,"12oz.     ",5.00,4.00,2,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
86,Hefeweizen Pitcher,"Hef       ",1.00,24.00,18,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
87,First Magnitude 72 Pitcher,"72        ",2.00,24.00,18,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
88,SwampHead BigNose IPA Pitcher,"Big Nose  ",3.00,24.00,18,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
